Model,F1_Score,Accuracy,Config
SVM,0.9446173319749313,0.9444444444444444,"{'C': 5.0, 'kernel': 'rbf'}"
Stacking,0.9446173319749313,0.9444444444444444,SVM + KNN + SVM meta
MLP,0.911283998641598,0.9111111111111111,"[512, 256]"
Voting,0.9109073508073231,0.9111111111111111,SVM + KNN (soft)
NN_Ensemble,0.8996079157790744,0.9,MLP + CNN + LSTM
KNN,0.7760141093474426,0.7777777777777778,k=6
LSTM,0.4419235562092705,0.4888888888888889,Default LSTM
CNN,0.16666666666666666,0.3333333333333333,"[64, 128, 256]"
